step,loss,fit,kl,normW,logdetV,sigma2,rhoW,val_bound
0,-44.61952735363141,-44.82390201155353,0.1912663314072222,0.0,-1.180255758425441,0.1269380110429725,0.0,-41.848063404456305
1,-43.57989053754287,-43.748933484625255,0.15589948075255983,0.003999999706572194,-1.183180914137597,0.12681886060447575,0.002494671825453295,-42.401914397674766
2,-43.44775538075553,-43.617718276940224,0.15678388681104938,0.007929025000465993,-1.1860874303430182,0.12669991240511647,0.004946960260206199,-41.728585028479436
3,-46.07484747564886,-46.2571089346496,0.16904658701206315,0.01184553143627306,-1.188968787760468,0.1265811247688189,0.007385425359350829,-41.39149503443898
4,-47.64171388043055,-47.808757911526584,0.15379294174724584,0.015650668144693246,-1.1918336628216077,0.12646219204989406,0.009716017149448565,-42.83530880815057
5,-43.586007793114625,-43.7670648511674,0.16776924301628032,0.019462611480908682,-1.1946915280413193,0.1263430812968341,0.01205935609555564,-41.766918314565906
6,-42.1739938647765,-42.36008938613493,0.17277051418894912,0.023235691207441754,-1.1975421796543353,0.12622435258530254,0.014383786541599563,-41.62429316716366
7,-44.9063174637019,-45.085576129036895,0.16589612586421565,0.02688004427176743,-1.2003846260878928,0.12610612399429535,0.016617428642319233,-41.96418208177866
8,-44.269756686508664,-44.43578754513298,0.1526303354134823,0.03051168472741335,-1.2032210755402246,0.12598789318354908,0.01885432701036614,-43.95411258873161
9,-46.68111010314219,-46.87273397699121,0.17818493941745017,0.03408724482200184,-1.2060549507979672,0.12586980431619302,0.021043922766528333,-41.97897318991975
10,-43.4319088416647,-43.61011926891483,0.16473244360845357,0.037711253881690915,-1.2088927200909974,0.12575151530234704,0.023252755031926503,-42.83801314013129
11,-45.18100367494413,-45.35483472664694,0.1603135632681214,0.0413336299017498,-1.21172427222464,0.12563353281026693,0.025463790505125407,-43.729668887906215
12,-42.196054545105106,-42.374156537470526,0.16454445521975639,0.04495776137630092,-1.2145565643155645,0.12551557216406262,0.027662847159147373,-42.44098637933577
13,-45.18976961198822,-45.38417488819927,0.18080713738646348,0.04862002981765184,-1.2173843659976784,0.12539809807666574,0.029884833670817717,-41.540000509360475
14,-47.476289908776174,-47.669025757186446,0.1790965125585825,0.05229484991902074,-1.2202143121194047,0.12528056735618281,0.03212552920150187,-43.84146141076208
15,-45.74961015881525,-45.91569617351644,0.15240492497199323,0.05599853034425926,-1.2230396563714394,0.125162700300798,0.03440220099915754,-42.309222977981406
16,-44.92727609473858,-45.117850903471606,0.17685146370528804,0.059665934538789114,-1.225867711957823,0.12504483380981737,0.036654542878162374,-42.64970055874048
17,-47.75260533152129,-47.91561437647877,0.14924298513196693,0.06327010271095553,-1.2287020189902937,0.12492708752345,0.03884974411296501,-43.172588547494044
18,-46.21128767165251,-46.35039993234656,0.12530286164278523,0.0668611603555587,-1.231547452432658,0.12480907323152798,0.041046804071499486,-42.15815633288938
19,-46.242356814777715,-46.426477164723096,0.1702671734168866,0.07039555263662427,-1.2343991665328609,0.12469110805507395,0.04320982415570523,-42.636674404591524
